year;origin;destination;
1993;bel;fji;
1993;bel;flk;
1993;bel;fra;
1993;bel;fro;
1993;bel;fsm;
1993;bel;gab;
1993;bel;gbr;
1993;bel;geo;
1993;bel;gha;
1993;bel;gib;
1993;bel;gin;
1993;bel;glp;
1993;bel;gmb;
1993;bel;gnb;
1993;bel;gnq;
1993;bel;grc;
1993;bel;grd;
1993;bel;grl;
1993;bel;gtm;
1993;bel;guf;
1993;bel;guy;
1993;bel;hkg;
1993;bel;hnd;
1993;bel;hrv;
1993;bel;hti;
1993;bel;hun;
1993;bel;idn;
1993;bel;ind;
1993;bel;irl;
1993;bel;irn;
1993;bel;irq;
1993;bel;isl;
1993;bel;isr;
1993;bel;ita;
1993;bel;jam;
1993;bel;jor;
1993;bel;jpn;
1993;bel;kaz;
1993;bel;ken;
1993;bel;kgz;
1993;bel;khm;
1993;bel;kir;
1993;bel;kna;
1993;bel;kor;
1993;bel;kwt;
1993;bel;lao;
1993;bel;lbn;
1993;bel;lbr;
1993;bel;lby;
1993;bel;lca;
1993;bel;lka;
1993;bel;ltu;
1993;bel;lva;
1993;bel;mac;
1993;bel;mar;
1993;bel;mda;
1993;bel;mdg;
1993;bel;mdv;
1993;bel;mex;
1993;bel;mhl;
1993;bel;mkd;
1993;bel;mli;
1993;bel;mlt;
1993;bel;mmr;
1993;bel;mng;
1993;bel;moz;
1993;bel;mrt;
1993;bel;mtq;
1993;bel;mus;
1993;bel;mwi;
1993;bel;mys;
1993;bel;ncl;
1993;bel;ner;
1993;bel;nga;
1993;bel;nic;
1993;bel;nld;
1993;bel;nor;
1993;bel;npl;
1993;bel;nru;
1993;bel;nzl;
1993;bel;omn;
1993;bel;pak;
1993;bel;pan;
1993;bel;per;
1993;bel;phl;
1993;bel;png;
1993;bel;pol;
1993;bel;prk;
1993;bel;prt;
1993;bel;pry;
1993;bel;pyf;
1993;bel;qat;
1993;bel;reu;
1993;bel;rou;
1993;bel;rus;
1993;bel;rwa;
1993;bel;sau;
1993;bel;scg;
1993;bel;sdn;
1993;bel;sen;
1993;bel;sgp;
1993;bel;shn;
1993;bel;slb;
1993;bel;sle;
1993;bel;slv;
1993;bel;som;
1993;bel;spm;
1993;bel;stp;
1993;bel;sur;
1993;bel;svk;
1993;bel;svn;
1993;bel;swe;
1993;bel;syc;
1993;bel;syr;
1993;bel;tca;
1993;bel;tcd;
1993;bel;tgo;
1993;bel;tha;
1993;bel;tjk;
1993;bel;tkm;
1993;bel;ton;
1993;bel;tto;
1993;bel;tun;
1993;bel;tur;
1993;bel;tuv;
1993;bel;tza;
1993;bel;uga;
1993;bel;ukr;
1993;bel;ury;
1993;bel;usa;
1993;bel;uzb;
1993;bel;vct;
1993;bel;ven;
1993;bel;vgb;
1993;bel;vnm;
1993;bel;vut;
1993;bel;wlf;
1993;bel;wsm;
1993;bel;yem;
1993;bel;zaf;
1993;bel;zmb;
1993;bel;zwe;
1993;bgd;are;
1993;bgd;arg;
1993;bgd;aus;
1993;bgd;aut;
1993;bgd;bel;
1993;bgd;ben;
1993;bgd;bra;
1993;bgd;brn;
1993;bgd;btn;
1993;bgd;can;
1993;bgd;che;
1993;bgd;chl;
1993;bgd;chn;
1993;bgd;col;
1993;bgd;cri;
1993;bgd;cyp;
1993;bgd;cze;
1993;bgd;deu;
1993;bgd;dnk;
1993;bgd;egy;
1993;bgd;esp;
1993;bgd;eth;
1993;bgd;fin;
1993;bgd;fji;
1993;bgd;fra;
1993;bgd;fro;
1993;bgd;gbr;
1993;bgd;glp;
1993;bgd;grc;
1993;bgd;grl;
1993;bgd;gtm;
1993;bgd;guf;
1993;bgd;hkg;
1993;bgd;hnd;
1993;bgd;hrv;
1993;bgd;hun;
1993;bgd;idn;
1993;bgd;ind;
1993;bgd;irl;
1993;bgd;isl;
1993;bgd;isr;
1993;bgd;ita;
1993;bgd;jam;
1993;bgd;jor;
1993;bgd;jpn;
1993;bgd;ken;
1993;bgd;kor;
1993;bgd;kwt;
1993;bgd;lka;
1993;bgd;mac;
1993;bgd;mar;
1993;bgd;mex;
1993;bgd;mlt;
1993;bgd;mtq;
1993;bgd;mus;
1993;bgd;mys;
1993;bgd;nld;
1993;bgd;nor;
1993;bgd;npl;
1993;bgd;nzl;
1993;bgd;omn;
1993;bgd;pak;
1993;bgd;per;
1993;bgd;phl;
1993;bgd;pol;
1993;bgd;prt;
1993;bgd;pry;
1993;bgd;qat;
1993;bgd;reu;
1993;bgd;rou;
1993;bgd;sau;
1993;bgd;sgp;
1993;bgd;svn;
1993;bgd;swe;
1993;bgd;tha;
1993;bgd;tto;
1993;bgd;tun;
1993;bgd;tur;
1993;bgd;ury;
1993;bgd;usa;
1993;bgd;zaf;
1993;bgd;zwe;
1993;bgr;are;
1993;bgr;arg;
1993;bgr;aus;
1993;bgr;aut;
1993;bgr;bel;
1993;bgr;bol;
1993;bgr;bra;
1993;bgr;brn;
1993;bgr;can;
1993;bgr;che;
1993;bgr;chl;
1993;bgr;chn;
1993;bgr;col;
1993;bgr;cyp;
1993;bgr;cze;
1993;bgr;deu;
1993;bgr;dnk;
1993;bgr;dza;
1993;bgr;ecu;
1993;bgr;egy;
1993;bgr;esp;
1993;bgr;fin;
1993;bgr;fji;
1993;bgr;fra;
1993;bgr;fro;
1993;bgr;gab;
1993;bgr;gbr;
1993;bgr;glp;
1993;bgr;grc;
1993;bgr;grl;
1993;bgr;guf;
1993;bgr;hkg;
1993;bgr;hrv;
1993;bgr;hun;
1993;bgr;idn;
1993;bgr;ind;
1993;bgr;irl;
1993;bgr;isl;
1993;bgr;isr;
1993;bgr;ita;
1993;bgr;jam;
1993;bgr;jpn;
1993;bgr;kor;
1993;bgr;kwt;
1993;bgr;lka;
1993;bgr;mac;
1993;bgr;mar;
1993;bgr;mex;
1993;bgr;mlt;
1993;bgr;mtq;
1993;bgr;mus;
1993;bgr;mys;
1993;bgr;nld;
1993;bgr;nor;
1993;bgr;nzl;
1993;bgr;omn;
1993;bgr;pak;
1993;bgr;per;
1993;bgr;phl;
1993;bgr;pol;
1993;bgr;prt;
1993;bgr;pry;
1993;bgr;qat;
1993;bgr;reu;
1993;bgr;rou;
1993;bgr;sau;
1993;bgr;sgp;
1993;bgr;slv;
1993;bgr;svn;
1993;bgr;swe;
1993;bgr;tha;
1993;bgr;tun;
1993;bgr;tur;
1993;bgr;ury;
1993;bgr;usa;
1993;bgr;ven;
1993;bgr;zaf;
1993;bgr;zwe;
1993;bih;are;
1993;bih;aus;
1993;bih;aut;
1993;bih;bel;
1993;bih;bol;
1993;bih;che;
1993;bih;chn;
1993;bih;cze;
1993;bih;deu;
1993;bih;dnk;
1993;bih;egy;
1993;bih;esp;
1993;bih;fin;
1993;bih;fra;
1993;bih;gbr;
1993;bih;glp;
1993;bih;grc;
1993;bih;grl;
1993;bih;hkg;
1993;bih;hrv;
1993;bih;hun;
1993;bih;ind;
1993;bih;irl;
1993;bih;isr;
1993;bih;ita;
1993;bih;jpn;
1993;bih;lka;
1993;bih;nld;
1993;bih;nor;
1993;bih;pak;
1993;bih;phl;
1993;bih;pol;
1993;bih;prt;
1993;bih;rou;
1993;bih;sau;
1993;bih;svn;
1993;bih;swe;
1993;bih;tur;
1993;bih;usa;
1993;blr;are;
1993;blr;aus;
1993;blr;aut;
1993;blr;bel;
1993;blr;bra;
1993;blr;can;
1993;blr;che;
1993;blr;chn;
1993;blr;cze;
1993;blr;deu;
1993;blr;dnk;
1993;blr;egy;
1993;blr;esp;
1993;blr;fin;
1993;blr;fra;
1993;blr;gbr;
1993;blr;grc;
1993;blr;grl;
1993;blr;guf;
1993;blr;hkg;
1993;blr;hrv;
1993;blr;hun;
1993;blr;ind;
1993;blr;irl;
1993;blr;isl;
1993;blr;isr;
1993;blr;ita;
1993;blr;jam;
1993;blr;jpn;
1993;blr;kor;
1993;blr;mar;
1993;blr;mtq;
1993;blr;mys;
1993;blr;nld;
1993;blr;nor;
1993;blr;nzl;
1993;blr;pak;
1993;blr;pol;
1993;blr;prt;
1993;blr;reu;
1993;blr;rou;
1993;blr;sau;
1993;blr;svn;
1993;blr;swe;
1993;blr;tha;
1993;blr;tur;
1993;blr;usa;
1993;blr;zaf;
1993;bol;abw;
1993;bol;afg;
1993;bol;alb;
1993;bol;ant;
1993;bol;are;
1993;bol;arg;
1993;bol;aus;
1993;bol;aut;
1993;bol;bdi;
1993;bol;bel;
1993;bol;bfa;
1993;bol;bgr;
1993;bol;bhr;
1993;bol;bhs;
1993;bol;bih;
1993;bol;bra;
1993;bol;brb;
1993;bol;brn;
1993;bol;btn;
1993;bol;can;
1993;bol;cck;
1993;bol;che;
1993;bol;chl;
1993;bol;chn;
1993;bol;cmr;
1993;bol;col;
1993;bol;cri;
1993;bol;cub;
1993;bol;cyp;
1993;bol;cze;
1993;bol;deu;
1993;bol;dma;
1993;bol;dnk;
1993;bol;dom;
1993;bol;dza;
1993;bol;ecu;
1993;bol;egy;
1993;bol;esp;
1993;bol;fin;
1993;bol;fra;
1993;bol;fro;
1993;bol;gbr;
1993;bol;geo;
1993;bol;gha;
1993;bol;gib;
1993;bol;gin;
1993;bol;glp;
1993;bol;gnq;
1993;bol;grc;
1993;bol;grl;
1993;bol;gtm;
1993;bol;hkg;
1993;bol;hnd;
1993;bol;hrv;
1993;bol;hti;
1993;bol;hun;
1993;bol;idn;
1993;bol;ind;
1993;bol;irl;
1993;bol;irn;
1993;bol;irq;
1993;bol;isl;
1993;bol;isr;
1993;bol;ita;
1993;bol;jam;
1993;bol;jor;
1993;bol;jpn;
1993;bol;ken;
1993;bol;kir;
1993;bol;kor;
1993;bol;lka;
1993;bol;lva;
1993;bol;mar;
1993;bol;mex;
1993;bol;mlt;
1993;bol;mmr;
1993;bol;mrt;
